full_word,sentence_word_index,total_word_index
M. de Rênal,44,23944
Julien,6,23954
Julien,3,23967
Julien,0,24058
Julien,0,24118
M. de Rênal,8,24141
Julien,0,24133
M. de Rênal,12,24200
Julien,4,24192
M. de Rênal,21,24233
M. de Rênal,5,24276
Valenod,13,24284
Julien,0,24304
Chélan,0,24331
M. de Rênal,12,24423
Julien,30,24466
Julien,0,24540
M. de Rênal,5,24684
Julien,0,24772
Napoléon,4,24881
Julia,6,24897
Julien,10,24979
Mme Derville,5,25071
Tel,0,25094
Julien,9,25142
M. de Rênal,19,25236
Julien,0,25217
Julien,0,25242
M. de Rênal,0,25356
Derville,1,25386
Julien,0,25389
Julien,10,25664
M. de Rênal,0,25654
Lui,0,25671
Julien,9,25688
Julien,7,25736
Julien,19,25803
Julien,0,25919
Julien,7,26122
Élisa,17,26238
Mme de Rênal,0,26282
Julien,5,26396
Julien,17,26448
Mme de Rênal,11,26442
Julien,4,26464
Julien,0,26595
Julien,24,26667
Julien,12,26690
Mme de Rênal,20,27039
Julien,0,27112
Mme de Rênal,4,27123
M. de Rênal,5,27208
Derville,10,27213
Valenod,0,27264
Mme Derville,22,27403
de Rênal,0,27430
Julien,0,27652
Mais,0,28082
Julien,7,28115
M. de Rênal,39,28193
M. de Rênal,29,28233
Fouqué,22,28226
Chélan,10,28248
Valenod,0,28238
Maugiron,6,28244
Julien,6,28424
Julien,12,28483
Fouqué,0,28471
Solitaire,0,28554
Mais Fouqué,0,28580
Fouqué,1,28581
Julien,7,28637
Julien,5,28682
Julien,7,28949
Rien,0,28942
Fouqué,9,28951
Julien,8,28968
Fouqué,8,29374
Julien,5,29388
Julien,15,29569
Mme Derville,7,29592
Julien,5,29610
Julien,0,29656
Julien,15,29828
Julien,0,29975
Julien,17,30052
Mme de Rênal,0,30035
Elle,0,30072
Mme de Rênal,18,30155
Julien,18,30312
Julien,4,30350
Julien,17,30381
Mme Derville,25,30529
Julien,8,30711
Mme Derville,19,30722
Mme de Rênal,28,30731
Julien,20,30758
Julien,0,30925
Mme de Rênal,9,30955
de Rênal,1,31037
M. de Rênal,11,31145
Julien,5,31174
Fouqué,6,31228
Fouqué,4,31354
Julien,23,31416
Mme de Rênal,6,31399
Julien,11,31456
Julien,0,31554
Julien,5,31704
Charcot de Maugiron,0,31835
Elle,0,31846
Derville,1,31858
Julien,21,31985
Derville,11,32036
Julien,9,32078
de Rênal,1,32070
Julien,0,32087
Elle,7,32126
Mme Derville,11,32189
M. de Rênal,3,32282
A Verrières,0,32305
Julien,3,32308
Maslon,13,32324
Chélan,0,32311
Si Julien,3,32470
Julien,4,32471
Mme de Rênal,24,32531
Julien,17,32694
Julien,10,32738
Mme Derville,26,32754
Julien,6,32781
Mme de Rênal,27,32898
Mme Derville,16,32887
Julien,8,32910
Mme de Rênal,25,32940
Pierre,11,33004
Mme Derville,9,33075
Julien,0,33092
